Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.0784,0.9750,0.0131,0.9953
2,0.0240,0.9927,0.0102,0.9960
3,0.0155,0.9954,0.0113,0.9953
4,0.0113,0.9967,0.0086,0.9973
5,0.0101,0.9973,0.0007,1.0000
6,0.0103,0.9970,0.0071,0.9973
7,0.0022,0.9996,0.0009,1.0000
8,0.0047,0.9987,0.0126,0.9953
9,0.0050,0.9980,0.0042,0.9987
10,0.0088,0.9973,0.0006,1.0000
11,0.0078,0.9979,0.0001,1.0000
12,0.0048,0.9984,0.0001,1.0000
13,0.0037,0.9989,0.0072,0.9967
14,0.0022,0.9994,0.0003,1.0000
15,0.0020,0.9994,0.0009,1.0000
16,0.0045,0.9989,0.0006,1.0000
17,0.0007,0.9997,0.0000,1.0000
18,0.0023,0.9994,0.0004,1.0000
19,0.0009,0.9996,0.0003,1.0000
20,0.0007,0.9996,0.0001,1.0000
21,0.0005,0.9999,0.0000,1.0000
22,0.0037,0.9991,0.0005,1.0000
23,0.0017,0.9993,0.0000,1.0000
24,0.0011,0.9996,0.0005,1.0000
25,0.0007,0.9997,0.0001,1.0000
26,0.0019,0.9996,0.0002,1.0000
27,0.0019,0.9993,0.0004,1.0000
28,0.0007,0.9997,0.0000,1.0000
29,0.0016,0.9997,0.0005,1.0000
30,0.0008,0.9997,0.0001,1.0000
31,0.0013,0.9996,0.0000,1.0000
32,0.0024,0.9994,0.0001,1.0000
33,0.0002,1.0000,0.0001,1.0000
34,0.0002,1.0000,0.0001,1.0000
35,0.0009,0.9999,0.0000,1.0000
36,0.0014,0.9996,0.0000,1.0000
37,0.0007,0.9997,0.0003,1.0000
38,0.0004,0.9999,0.0001,1.0000
39,0.0007,0.9997,0.0000,1.0000
40,0.0017,0.9997,0.0001,1.0000
41,0.0006,0.9997,0.0000,1.0000
42,0.0003,0.9999,0.0001,1.0000
43,0.0014,0.9996,0.0001,1.0000
44,0.0018,0.9996,0.0001,1.0000
45,0.0017,0.9999,0.0000,1.0000
46,0.0012,0.9997,0.0001,1.0000
47,0.0014,0.9994,0.0002,1.0000
48,0.0011,0.9999,0.0000,1.0000
49,0.0008,0.9997,0.0002,1.0000
50,0.0011,0.9997,0.0001,1.0000
